888 2802
298 691 671
817 674 193
554 88 885
831 625 1
41 735 300
407 106 883
320 735 186
580 712 920
622 465 964
132 536 555
89 680 989
178 231 253
319 540 526
836 445 967
286 395 510
157 822 344
374 218 191
142 374 31
864 492 728
588 296 753
167 443 171
371 478 664
880 375 556
878 686 277
719 368 961
314 758 194
244 266 639
516 141 388
803 432 175
67 810 49
861 52 440
171 341 594
225 254 676
471 495 454
842 161 538
276 224 622
285 274 88
236 73 410
722 373 406
542 138 431
149 2 427
383 631 359
67 634 95
403 71 84
439 256 516
116 777 179
684 618 35
857 358 393
118 200 197
169 735 697
568 50 625
283 134 472
787 208 868
853 319 930
196 152 744
738 763 750
813 482 84
421 547 439
569 265 763
838 416 944
446 675 684
490 611 917
211 105 474
69 407 774
561 434 280
730 105 66
109 707 97
616 77 772
711 603 833
273 876 444
226 152 802
613 217 414
754 563 483
203 791 655
666 564 488
576 744 609
228 192 169
826 337 839
653 774 551
216 239 917
430 621 252
615 156 585
793 661 746
686 535 59
794 255 830
652 642 617
71 533 204
78 433 976
670 480 392
636 245 735
405 506 994
423 42 117
846 449 792
441 452 272
323 98 415
484 801 432
730 274 966
659 4 459
749 680 659
858 656 63
213 77 175
620 347 324
201 790 989
265 409 285
774 320 529
569 657 220
653 657 54
529 199 748
643 736 771
480 2 884
417 538 786
258 468 361
87 868 975
120 453 602
170 432 560
491 512 948
168 121 368
26 668 945
443 691 276
108 247 718
524 512 658
310 864 236
484 719 486
338 295 626
353 152 820
353 188 110
125 605 211
174 390 371
293 443 510
730 542 372
413 317 43
860 718 16
844 29 740
522 476 553
112 605 947
246 140 345
448 154 858
197 399 21
206 197 257
150 504 719
406 83 525
285 264 903
473 402 577
404 471 570
272 90 343
868 808 424
318 517 654
792 240 809
158 759 825
418 689 522
550 256 411
596 562 453
636 61 449
746 50 178
160 334 974
586 342 562
682 109 894
877 642 565
266 581 274
133 211 564
155 674 985
514 195 429
668 409 228
129 445 375
786 485 874
310 862 233
417 26 801
157 529 501
66 670 409
831 541 917
64 749 385
648 250 616
299 516 676
285 136 873
601 565 961
552 755 133
279 769 725
399 395 569
222 116 383
780 132 272
204 388 626
854 858 600
116 187 2
148 290 836
575 389 535
75 670 91
493 887 627
603 776 738
763 452 747
672 781 90
218 780 133
368 685 910
535 525 964
398 885 576
408 14 575
412 151 582
666 774 999
574 792 660
490 720 615
42 454 287
351 498 562
871 192 767
410 415 169
800 732 827
146 565 764
30 731 652
699 446 401
354 648 165
856 311 837
213 255 989
26 84 830
166 16 437
134 64 589
672 262 678
199 86 488
723 745 653
175 72 683
697 323 923
543 566 56
480 294 667
231 9 55
317 260 352
602 469 628
314 129 577
50 794 399
728 534 399
192 451 213
71 799 201
94 238 415
210 168 756
576 325 643
726 11 48
817 451 419
537 176 985
445 256 951
345 119 237
654 215 993
681 606 86
572 541 609
311 708 83
367 832 557
876 277 834
694 430 459
825 550 554
302 149 631
75 427 997
724 53 338
612 575 954
506 256 930
598 324 129
505 509 76
744 231 30
180 720 354
655 259 215
878 353 460
845 462 13
732 707 273
490 339 29
886 630 843
339 554 799
28 531 204
489 387 422
871 337 769
228 802 269
269 733 348
761 94 257
198 872 463
781 844 348
751 297 272
525 19 162
784 792 35
445 752 648
101 297 635
172 593 796
834 322 571
26 671 678
252 293 164
350 648 346
841 640 419
552 228 27
16 710 258
279 174 644
632 259 240
217 363 233
553 493 206
410 399 878
669 479 384
539 290 759
637 42 719
884 32 819
670 577 71
796 135 162
536 595 617
175 687 137
759 112 643
676 791 916
45 818 599
568 252 867
561 591 405
771 815 993
121 875 75
207 588 811
306 416 231
242 593 88
345 101 407
763 162 266
240 424 778
357 867 992
814 396 14
733 809 99
131 323 561
744 344 606
133 210 26
787 25 642
334 79 512
742 518 499
775 40 43
110 160 841
89 34 914
283 327 634
311 189 266
213 399 904
513 529 708
586 151 877
813 783 461
544 838 83
220 11 727
190 695 380
574 197 466
587 53 600
795 367 972
380 702 433
11 142 354
672 265 747
46 297 159
378 642 71
458 389 841
217 374 221
768 710 529
85 385 188
156 334 768
740 29 494
406 224 970
670 569 112
295 166 997
18 462 927
375 605 756
111 191 875
114 521 694
164 267 923
883 421 464
158 633 389
241 366 50
648 624 706
830 244 558
453 743 776
807 765 722
381 322 69
734 865 338
834 543 903
211 63 929
513 185 691
461 414 825
463 211 498
245 94 729
165 454 161
292 847 314
768 114 33
147 833 473
791 641 841
834 491 605
845 462 421
558 729 128
36 564 429
864 702 277
205 822 582
881 421 654
90 220 659
226 474 668
405 150 324
842 88 998
379 261 414
422 80 557
758 453 429
330 18 565
640 311 19
644 765 691
56 782 68
833 8 364
646 304 267
352 518 267
684 183 311
503 700 137
685 453 329
815 315 538
388 842 469
776 230 298
812 109 189
664 259 889
314 232 269
417 474 318
774 114 315
512 225 194
616 816 864
142 339 596
819 345 385
191 155 954
710 337 512
681 119 869
196 224 380
557 425 897
570 745 837
822 865 717
235 673 130
406 332 986
321 317 323
637 452 266
194 723 509
319 802 866
823 849 473
265 793 787
32 367 728
765 580 242
714 566 964
793 239 793
320 401 792
532 178 258
140 837 349
415 68 204
66 284 969
366 872 723
722 632 895
799 672 432
753 563 220
253 195 924
646 493 522
784 873 977
219 19 97
622 831 858
88 96 267
658 373 776
163 533 787
868 269 831
408 588 42
671 98 940
387 208 543
399 764 714
357 481 757
593 51 118
436 434 115
381 542 173
630 485 279
251 631 830
544 653 524
779 808 143
804 712 233
480 90 56
821 796 890
411 11 449
170 744 929
534 380 890
505 431 347
847 150 889
438 680 803
774 690 512
690 353 160
350 614 859
629 74 855
789 140 14
503 494 48
204 82 455
666 172 550
226 710 984
127 719 352
104 373 506
209 768 586
238 811 900
516 698 695
884 548 946
834 712 33
438 99 339
843 641 651
421 156 982
600 877 710
321 435 438
627 340 268
490 464 99
457 110 26
880 144 826
437 348 248
99 333 907
5 137 378
882 865 975
89 557 711
461 37 577
28 686 110
448 48 138
411 147 690
296 748 105
171 238 291
377 840 280
561 33 16
76 487 973
272 267 663
725 352 767
748 321 893
705 542 12
666 188 884
631 356 689
298 555 66
192 493 840
861 851 618
170 469 943
413 16 852
591 70 122
789 144 930
862 652 630
689 591 671
255 518 11
831 611 34
149 272 120
311 118 336
207 766 812
784 321 537
665 657 595
106 450 35
417 623 164
510 523 653
199 587 918
104 704 501
739 744 956
708 133 779
371 830 940
29 626 956
770 245 387
110 212 304
501 460 483
9 414 20
331 439 75
538 740 430
656 259 362
66 515 94
270 61 884
882 173 995
285 860 991
506 586 633
800 35 452
78 310 982
564 503 641
545 887 465
121 297 497
615 411 310
519 627 742
381 606 992
830 137 260
738 857 986
883 511 418
483 321 605
471 674 441
323 809 30
633 11 255
97 795 82
665 840 94
592 625 803
518 659 952
377 75 729
655 459 430
145 414 876
378 270 899
599 136 799
477 729 300
263 71 575
408 310 332
797 233 123
520 157 79
699 30 44
82 107 37
506 228 681
858 618 38
611 197 97
626 887 484
852 72 536
612 710 119
598 628 197
834 430 299
793 580 959
61 289 906
112 181 39
863 610 141
13 824 121
696 841 532
636 95 202
8 78 517
336 193 557
441 660 789
89 171 376
867 462 730
448 164 729
833 787 126
740 105 883
723 419 380
58 273 994
379 100 526
26 11 978
432 534 920
455 432 733
843 316 594
98 248 688
22 805 402
764 664 907
206 654 406
682 366 828
517 577 855
734 565 310
407 100 719
507 580 466
41 375 367
16 224 205
325 689 596
548 47 940
756 707 939
342 444 145
386 821 571
546 198 191
142 338 140
222 86 40
618 637 19
549 599 481
271 435 303
671 1 571
491 348 379
360 625 92
539 517 228
240 57 802
406 831 787
654 611 213
627 375 669
235 210 729
884 55 306
71 498 868
746 226 117
515 718 835
884 60 686
397 648 17
238 834 545
534 698 969
161 1 397
621 856 99
426 6 490
775 365 92
372 258 785
450 824 344
837 650 603
475 460 222
364 678 849
696 873 55
461 162 213
545 653 370
81 553 895
546 610 503
85 888 159
159 828 590
201 15 399
552 759 868
206 137 307
239 773 481
224 101 502
15 619 530
258 389 476
413 114 184
455 575 68
225 661 55
519 151 456
390 387 700
585 226 636
861 832 696
401 513 284
817 398 615
114 229 27
579 47 425
596 278 154
181 602 350
282 482 307
217 547 648
159 775 434
700 458 311
8 325 982
804 552 731
597 625 994
169 639 375
512 366 694
544 118 164
416 259 916
206 609 385
324 203 207
17 361 949
312 855 557
758 558 195
651 597 242
847 437 937
539 65 94
627 309 77
289 549 761
572 577 480
25 375 763
208 521 98
37 526 61
263 69 964
323 519 660
581 536 115
870 211 988
737 275 462
67 442 628
196 836 2
630 546 931
585 415 16
747 548 651
751 872 745
862 529 698
584 174 91
709 132 354
521 36 904
661 851 326
873 501 137
795 685 121
254 86 597
625 2 612
164 563 108
336 207 183
446 541 26
520 195 848
780 357 200
221 791 282
388 424 62
65 166 383
756 786 986
422 34 938
90 242 675
419 694 69
79 624 540
886 413 640
457 76 691
572 255 662
268 5 383
134 783 14
489 169 977
120 217 839
72 58 388
591 324 548
290 679 264
180 852 828
154 252 83
32 61 661
358 680 9
282 174 744
103 583 71
179 577 841
199 647 258
308 886 326
742 845 632
591 506 187
628 95 422
798 98 60
369 718 734
499 501 11
41 472 396
712 122 868
61 290 366
262 856 379
151 639 57
380 236 224
619 711 907
690 334 34
217 806 255
244 702 153
747 460 867
243 415 639
870 816 490
474 819 112
117 205 160
249 328 213
716 481 850
815 667 609
737 576 587
38 797 425
579 304 276
839 813 109
680 97 937
843 170 492
672 772 720
78 72 809
237 138 227
109 700 43
65 498 307
279 241 121
552 187 361
876 130 140
361 170 528
267 668 699
649 661 904
42 534 813
440 570 528
733 570 186
496 879 202
178 69 713
122 640 164
11 734 510
662 796 702
304 18 252
304 800 788
494 660 683
97 166 488
154 400 935
721 243 775
227 632 423
428 178 232
523 394 696
554 235 189
888 165 252
822 563 805
748 3 10
815 17 436
73 601 214
263 253 141
837 546 870
192 286 265
573 327 372
649 450 145
687 214 490
696 48 274
677 583 356
645 826 693
375 845 143
514 233 403
288 621 101
599 541 888
292 788 17
687 605 475
846 259 399
429 233 819
678 344 604
126 793 97
703 329 481
263 510 586
442 476 902
114 232 910
677 794 350
548 363 382
312 302 58
79 419 203
859 795 365
47 797 381
149 65 440
189 613 740
46 293 139
811 822 332
314 851 368
564 403 442
797 320 980
485 586 458
759 601 168
295 337 985
228 122 794
187 742 235
716 263 403
821 83 633
328 285 195
387 243 615
400 753 337
246 488 123
610 193 177
831 702 780
30 58 679
794 369 249
148 347 231
754 343 751
754 426 272
662 685 816
343 49 406
255 464 868
64 315 878
552 326 959
831 122 822
95 98 821
205 580 263
705 654 483
618 137 597
800 281 601
65 352 829
722 110 947
755 572 676
637 179 744
218 467 915
861 549 503
431 742 518
540 723 125
86 522 357
404 87 698
145 136 742
293 205 779
591 412 47
249 661 749
165 125 838
529 884 72
31 823 284
520 777 705
410 294 280
342 56 32
754 2 717
198 618 564
331 825 292
830 421 383
69 541 777
587 424 606
269 31 515
176 151 388
200 261 597
143 667 293
815 759 567
288 7 922
152 133 416
317 328 701
291 472 351
562 588 319
430 376 613
876 645 69
647 280 591
564 308 333
199 51 339
322 585 887
424 557 6
304 72 638
104 555 721
654 181 498
745 419 189
836 260 452
214 384 103
646 323 364
797 650 678
70 175 137
543 839 900
7 379 486
774 640 1000
361 654 810
76 291 69
504 92 209
685 140 787
650 149 589
530 873 875
807 534 609
77 237 427
852 856 654
852 252 614
604 581 198
321 643 376
475 416 446
149 801 173
395 256 509
629 838 745
275 6 227
586 328 865
394 157 601
712 153 990
191 765 673
287 259 200
470 392 170
582 173 239
856 232 279
642 245 726
794 162 672
794 751 882
311 153 478
793 143 761
303 852 926
646 842 101
410 213 275
16 840 256
632 682 591
497 15 888
286 870 517
181 344 126
383 752 952
555 321 615
349 510 767
476 692 718
483 445 84
359 476 341
291 672 728
25 243 762
827 683 207
601 806 504
841 128 179
80 501 788
392 327 725
760 819 591
661 659 24
540 162 783
458 650 226
670 703 604
5 809 648
267 151 504
751 378 484
773 610 43
174 390 597
91 388 72
21 800 573
654 561 303
34 795 925
433 802 43
842 152 39
658 178 74
2 174 908
243 845 365
753 84 26
316 39 864
655 451 98
844 862 585
775 385 836
494 23 879
629 869 467
214 561 127
40 710 500
321 327 141
114 204 403
253 307 834
649 564 97
489 222 399
849 676 534
438 589 294
345 837 281
308 361 831
256 202 604
418 209 650
443 877 72
700 269 682
105 833 630
646 357 331
80 613 664
750 280 750
602 477 838
830 790 618
298 454 543
774 112 87
91 275 556
557 741 355
461 442 731
625 63 821
751 552 651
869 656 625
46 720 927
340 830 572
788 651 733
553 277 580
670 794 97
685 357 218
244 303 193
220 237 39
694 556 361
276 186 163
790 402 140
477 268 244
3 837 471
692 215 320
729 881 344
811 218 77
8 322 525
299 326 952
210 289 547
669 122 831
209 726 718
770 723 466
785 642 205
554 297 324
730 507 530
102 536 425
673 525 403
344 275 662
515 789 650
39 426 769
843 447 460
677 69 432
634 56 869
580 308 486
214 625 164
257 560 463
667 658 896
402 661 962
458 378 911
483 796 838
644 270 356
414 105 515
267 93 499
54 273 516
877 343 719
606 211 287
449 490 549
532 153 910
605 32 142
144 488 368
578 316 532
710 71 869
646 471 45
357 355 977
334 248 446
153 569 999
330 887 245
609 884 317
108 439 98
343 780 260
233 485 391
537 753 977
367 320 970
853 130 932
394 250 225
465 115 383
427 184 811
68 57 412
366 842 559
489 231 901
42 861 391
600 380 50
325 308 386
361 569 214
65 164 619
328 490 96
834 308 952
274 361 441
34 628 218
849 279 276
656 674 500
432 443 55
180 570 20
382 841 954
195 218 701
627 155 16
524 470 433
130 790 216
295 885 449
770 543 388
827 537 602
518 531 946
400 653 410
476 519 43
285 570 932
569 428 777
317 206 616
684 871 286
643 424 163
767 421 88
355 844 651
828 72 109
728 747 837
589 387 656
632 118 709
291 760 959
756 191 587
118 13 878
603 223 71
483 561 694
32 14 11
116 781 162
204 191 803
327 683 936
511 583 506
385 140 65
325 497 513
42 771 747
613 413 338
237 127 950
530 139 29
588 559 317
585 80 318
674 268 114
872 508 31
404 588 766
385 88 674
307 869 313
639 123 476
206 785 425
371 846 793
202 242 415
66 721 372
69 389 872
393 526 236
131 418 501
338 85 806
844 681 988
671 455 156
772 704 806
553 448 549
88 246 624
462 515 348
423 308 366
887 141 930
154 53 944
71 28 249
61 232 753
109 241 728
130 622 14
157 636 710
372 755 864
552 339 618
556 839 883
558 104 190
550 398 608
470 800 796
672 122 936
863 326 534
258 75 40
220 568 311
470 831 143
7 422 563
720 795 501
779 165 405
120 186 540
124 95 622
663 705 307
443 668 361
34 310 621
229 225 381
108 363 434
415 851 670
106 804 738
571 479 289
429 84 609
303 808 818
262 663 32
181 96 247
402 622 176
240 638 257
562 559 779
740 395 510
310 806 23
786 724 611
594 632 682
70 19 249
826 817 445
625 678 913
114 818 436
205 814 108
812 519 304
36 599 387
878 383 723
658 374 407
555 844 388
667 761 734
194 44 329
786 708 532
113 142 848
135 739 148
742 872 146
65 256 406
602 341 59
161 857 603
114 252 480
638 153 338
26 445 922
756 63 160
429 852 404
82 44 85
631 493 388
4 475 707
318 614 701
329 467 752
142 15 394
599 815 277
817 57 778
331 658 256
146 549 42
402 227 123
352 669 641
538 80 918
652 320 321
887 630 171
442 374 180
132 625 831
713 157 543
472 332 824
302 490 95
350 15 307
458 863 117
575 666 186
764 19 263
334 516 706
106 460 871
804 52 522
222 609 433
337 330 362
215 556 706
175 263 535
883 876 87
234 351 874
280 337 688
499 218 276
507 330 830
4 622 961
143 131 170
630 542 337
536 863 95
396 832 1
45 717 864
110 498 386
183 846 918
88 382 911
260 245 390
375 880 62
337 496 959
31 37 835
622 606 115
454 449 54
185 318 273
672 334 833
270 223 231
543 710 224
804 676 198
184 884 659
782 627 382
194 715 514
579 644 297
451 420 95
788 474 922
484 546 893
833 296 285
187 545 842
779 652 486
415 575 67
187 733 60
31 272 738
509 699 883
659 453 87
6 149 12
401 61 444
776 262 75
696 118 224
769 64 725
317 803 829
10 120 489
44 809 15
649 13 447
855 626 611
854 37 741
426 3 310
185 48 73
402 827 694
376 27 250
835 352 149
744 748 583
301 663 718
23 336 68
570 349 193
461 526 955
348 602 658
201 323 716
583 876 920
768 477 665
202 110 798
624 459 82
446 801 69
852 101 60
121 304 837
69 548 536
548 338 906
391 398 102
841 652 896
524 613 429
20 399 251
476 867 451
568 215 530
461 369 566
652 754 383
101 773 515
193 255 804
476 19 880
641 557 911
342 740 962
568 58 740
392 653 247
877 151 222
869 101 832
407 621 314
791 800 421
26 614 332
602 806 167
50 876 674
859 66 780
489 264 238
777 566 954
442 83 472
829 369 990
594 246 29
76 95 134
739 768 34
649 381 871
705 785 462
713 61 515
360 690 36
882 491 72
456 16 409
796 490 693
814 717 393
856 741 945
805 80 23
265 370 40
187 529 595
16 581 423
99 818 354
412 526 694
300 692 500
477 419 865
436 550 800
754 259 1
849 233 124
712 15 754
643 703 178
749 75 378
59 598 713
802 105 745
334 827 748
492 2 547
22 634 314
831 55 557
737 687 904
709 770 893
675 227 884
85 622 948
255 698 253
428 864 177
137 333 261
328 336 178
797 542 640
845 558 855
126 131 517
852 559 553
667 352 754
768 230 882
516 630 37
158 463 41
759 101 270
817 614 43
216 290 175
585 231 540
390 626 13
509 755 539
512 22 708
139 876 842
651 183 188
729 304 474
12 529 871
314 341 246
832 297 805
466 273 906
481 818 825
377 228 585
784 599 712
67 468 505
871 536 208
515 705 589
286 611 288
566 312 548
34 253 49
331 716 445
802 671 895
546 304 275
420 561 545
445 624 141
814 877 694
501 700 220
446 544 421
429 797 85
754 733 97
58 222 358
674 10 184
155 142 186
232 606 272
473 118 813
432 513 104
820 720 820
243 60 550
424 132 930
612 423 666
271 384 699
641 751 238
460 500 508
104 839 225
62 3 213
669 292 608
148 301 432
127 664 49
368 862 849
493 339 566
78 378 231
292 804 97
198 660 736
298 687 792
774 531 180
477 396 113
268 578 176
224 653 436
885 848 657
787 330 73
195 594 280
61 425 372
648 838 157
736 228 84
424 848 86
719 652 749
865 144 486
701 672 7
424 269 122
121 836 38
203 649 987
62 431 101
465 774 360
634 242 191
203 1 980
554 721 506
425 35 878
167 798 640
775 471 563
347 308 685
287 191 694
675 139 309
596 702 752
756 537 115
132 141 580
25 628 887
542 856 591
161 330 205
837 677 69
393 757 92
321 486 267
409 363 25
864 478 449
40 548 866
495 867 494
528 22 827
81 867 218
667 721 31
592 670 133
143 482 268
555 243 116
373 325 981
72 37 895
361 806 755
255 718 911
79 602 719
266 472 470
727 818 424
878 707 397
885 110 205
579 885 364
6 434 481
529 855 959
384 320 158
70 827 391
290 771 239
425 214 303
587 501 729
828 177 245
621 126 686
161 824 558
883 549 453
656 857 720
687 263 501
106 190 726
329 494 689
73 128 562
434 749 893
36 59 864
762 548 644
34 28 898
83 753 238
367 52 360
665 409 804
802 52 498
715 99 59
665 389 962
112 129 116
850 380 41
651 622 320
839 330 670
170 128 78
648 301 252
508 882 376
557 160 451
820 482 156
511 538 777
253 134 342
465 867 314
82 262 576
284 725 992
874 839 63
484 717 863
721 828 307
574 429 925
229 706 709
441 403 893
666 135 297
743 775 550
168 357 21
89 325 35
406 106 731
513 271 783
328 206 7
833 531 422
523 336 791
474 202 719
467 241 643
535 214 614
517 866 82
81 60 646
382 287 312
313 27 540
648 737 489
687 486 257
536 126 258
592 520 866
312 706 808
216 186 160
29 344 654
110 427 967
705 636 624
662 804 208
173 162 456
796 646 377
214 649 604
754 464 824
99 343 250
773 402 95
218 618 267
375 650 426
291 134 887
876 165 606
90 562 152
543 584 286
135 469 94
131 795 158
380 256 703
431 323 749
194 387 282
236 59 163
217 70 860
42 621 490
420 601 555
40 667 692
544 829 225
454 106 99
161 801 232
335 443 204
595 820 732
199 120 603
458 721 16
408 101 265
242 272 342
72 733 364
295 754 353
234 323 818
616 261 748
470 658 10
14 242 987
183 449 219
523 724 751
254 487 2
341 1 439
780 224 282
95 105 403
839 318 925
35 230 334
525 344 244
750 598 730
400 222 530
354 548 710
83 4 514
282 51 383
15 334 304
862 280 642
401 405 197
475 86 410
485 833 558
615 246 377
536 235 505
168 108 514
305 21 265
793 567 816
177 352 677
289 226 257
516 392 268
336 152 57
844 861 957
373 358 820
17 376 553
243 197 225
191 796 703
860 96 277
749 871 422
552 233 814
355 862 221
787 656 922
409 206 370
372 448 57
59 42 857
52 268 266
252 386 388
362 637 438
348 772 740
455 85 179
16 395 30
300 92 110
7 841 428
111 317 691
437 825 815
204 14 376
265 239 904
507 597 643
123 730 509
123 433 842
117 387 407
639 617 919
710 885 269
262 864 720
157 258 499
864 261 567
93 230 1000
741 384 193
421 317 803
36 510 381
148 518 540
301 619 145
797 236 859
182 207 948
184 215 995
469 312 349
67 843 486
6 326 237
582 740 230
621 262 271
504 710 11
558 420 470
660 829 50
35 189 157
377 266 535
802 632 601
819 263 429
539 813 700
384 229 968
690 580 386
410 340 351
66 246 754
52 565 890
304 294 901
331 517 211
528 741 296
50 239 937
883 443 174
620 207 441
737 786 337
427 596 475
210 241 120
506 816 314
714 536 880
30 130 438
843 604 346
140 65 557
495 180 408
488 651 83
11 879 962
222 413 672
80 827 135
168 142 837
878 541 408
813 691 607
646 173 968
278 82 853
156 780 230
499 621 699
734 692 82
187 701 831
96 714 571
857 498 47
298 178 533
728 450 292
552 868 785
385 838 905
173 414 947
881 487 977
555 815 986
271 281 939
12 606 518
625 818 509
353 638 568
537 179 108
500 434 15
284 372 609
431 107 456
527 503 204
453 367 3
61 64 468
80 546 326
282 703 821
732 155 219
686 178 148
796 408 338
508 721 663
510 749 619
837 91 506
481 207 515
639 225 324
264 745 772
738 79 234
465 128 885
596 419 731
362 729 533
36 620 870
542 152 275
164 731 95
202 101 196
681 801 732
737 729 92
601 639 440
658 193 73
718 790 957
288 195 278
234 732 848
63 416 676
417 695 952
344 748 864
355 687 479
323 60 774
486 291 584
63 12 191
93 690 479
854 659 519
91 487 728
137 314 392
323 230 787
345 507 139
811 29 546
141 113 194
509 33 655
450 569 326
650 580 466
466 197 404
366 504 252
154 692 457
525 401 514
127 718 590
352 544 332
151 28 530
490 378 513
878 577 471
257 841 288
311 466 847
435 73 623
769 733 266
248 460 190
277 301 315
824 57 664
483 9 267
532 746 743
465 758 522
719 632 993
603 195 418
643 363 126
605 9 944
686 738 796
611 155 307
693 347 586
63 715 86
600 591 408
491 682 960
567 283 548
251 250 394
294 107 227
314 35 431
245 61 363
703 801 87
519 511 461
580 87 803
167 51 722
556 678 208
813 28 392
216 488 577
79 652 368
379 679 779
194 114 426
884 408 100
734 194 262
639 217 279
350 237 130
756 286 97
810 585 629
125 365 735
786 414 380
448 344 522
649 722 572
410 787 492
66 67 448
10 628 666
724 730 372
146 574 310
603 465 120
291 695 88
652 416 464
419 246 214
408 533 362
263 416 934
671 486 4
402 839 182
103 455 467
200 566 989
495 51 834
294 465 617
605 242 646
798 141 775
572 822 593
607 191 167
525 794 440
357 380 889
286 246 802
458 518 534
839 762 374
612 253 637
622 492 654
549 325 331
846 361 571
767 331 424
615 380 809
546 273 308
724 359 685
660 149 598
453 232 327
291 155 663
844 58 724
69 299 800
848 374 127
328 704 495
259 68 702
819 527 949
615 483 763
155 242 711
453 697 825
520 451 117
283 832 61
430 444 715
317 44 175
702 728 914
637 819 862
701 331 336
774 639 430
610 500 420
255 104 158
612 33 109
366 672 895
614 715 324
551 861 654
475 650 911
265 635 312
884 105 482
71 846 673
381 609 463
2 470 341
513 757 789
94 29 689
612 103 767
413 869 438
293 370 755
271 857 158
507 114 137
48 362 791
605 79 340
363 211 691
49 145 990
623 20 764
656 748 47
302 611 553
98 707 268
558 256 975
606 473 502
645 297 161
95 122 787
783 628 772
740 103 523
573 36 436
481 831 279
306 32 860
190 430 289
456 321 557
839 435 699
518 644 615
713 705 707
351 743 131
460 693 483
91 749 976
828 435 340
509 880 561
649 1 581
530 377 557
